id,head,relation_type,tail
1,link layer,has_part,mac
1,link layer,has_part,rlc
2,cdma,provides,shared-medium access
2,cdma,requires,chipping rate
3,wifi,has_part,channel
3,wifi,supports,wireless lan
3,bluetooth,enables,wireless peripheral connectivity
3,bluetooth,implements,frequency-hopping spread spectrum
3,bluetooth,operates_at,link layer
3,bluetooth,provides,streaming
3,bluetooth,supports,ack
3,bluetooth,supports,ad hoc network
3,bluetooth,supports,error detection
3,bluetooth,supports,personal area network
3,bluetooth,supports,polling
3,bluetooth,supports,time division multiplexing
4,mobile ip,enables,mobility
4,mobile ip,enables,tunnel
4,mobile ip,implements,agent discovery
4,mobile ip,implements,forwarding
4,mobile ip,implements,mobility services
4,mobile ip,implements,registration
4,mobile ip,provides,mobility
4,mobile ip,runs_on,ipv4
4,mobile ip,supports,visited network
6,base station,communicates_with,mme
6,base station,communicates_with,mobile device
6,base station,communicates_with,wireless host
6,base station,connects_to,gateway
6,base station,connects_to,larger network
6,base station,connects_to,mobile device
6,base station,connects_to,serving gateway
6,base station,enables,channel access
6,base station,forwards,ip datagram
6,base station,is_a,network component
6,base station,operates_at,link layer
6,base station,receives,ip datagram
6,base station,receives,packet
6,base station,sends,packet
6,base station,sends,paging messages
6,wireless host,communicates_with,base station
6,wireless host,communicates_with,larger network
6,wireless host,connects_to,base station
8,base station,communicates_with,mme
8,base station,communicates_with,mobile device
8,base station,communicates_with,wireless host
8,base station,connects_to,gateway
8,base station,connects_to,larger network
8,base station,connects_to,mobile device
8,base station,connects_to,serving gateway
8,base station,enables,channel access
8,base station,forwards,ip datagram
8,base station,is_a,network component
8,base station,operates_at,link layer
8,base station,receives,ip datagram
8,base station,receives,packet
8,base station,sends,packet
8,base station,sends,paging messages
9,base station,communicates_with,mme
9,base station,communicates_with,mobile device
9,base station,communicates_with,wireless host
9,base station,connects_to,gateway
9,base station,connects_to,larger network
9,base station,connects_to,mobile device
9,base station,connects_to,serving gateway
9,base station,enables,channel access
9,base station,forwards,ip datagram
9,base station,is_a,network component
9,base station,operates_at,link layer
9,base station,receives,ip datagram
9,base station,receives,packet
9,base station,sends,packet
9,base station,sends,paging messages
10,base station,communicates_with,mme
10,base station,communicates_with,mobile device
10,base station,communicates_with,wireless host
10,base station,connects_to,gateway
10,base station,connects_to,larger network
10,base station,connects_to,mobile device
10,base station,connects_to,serving gateway
10,base station,enables,channel access
10,base station,forwards,ip datagram
10,base station,is_a,network component
10,base station,operates_at,link layer
10,base station,receives,ip datagram
10,base station,receives,packet
10,base station,sends,packet
10,base station,sends,paging messages
10,mobile host,connects_to,base station
11,mobile host,connects_to,base station
12,wireless host,communicates_with,base station
12,wireless host,communicates_with,larger network
